gid,borough,x,y,population_lower_bound,population,is_suppressed,scenario,existing_capacity_mode,population_mode,new_capacity,tau_minutes,cutoff_minutes,baseline_gini,candidate_gini,delta_gini,candidate_demand_denominator,valid,exact_runtime_seconds,latitude,longitude
다사638441,강남구,963850.0,1944150.0,0.0,0.0,False,legal20_walk15_new40_BASE,LEGAL_NOMINAL,PUBLISHED_LOWER_BOUND,40.0,7.5,15.0,0.2762244629341156,0.2755521511286166,0.0006723118054990374,1261.1909822574896,True,4.8063152079994325,37.495900097789416,127.09104069317887
다사639441,강남구,963950.0,1944150.0,0.0,0.0,False,legal20_walk15_new40_BASE,LEGAL_NOMINAL,PUBLISHED_LOWER_BOUND,40.0,7.5,15.0,0.2762244629341156,0.2755539366740235,0.0006705262600921191,1185.088583753724,True,4.8063152079994325,37.495904008549495,127.09217195129644
다사637441,강남구,963750.0,1944150.0,0.0,0.0,False,legal20_walk15_new40_BASE,LEGAL_NOMINAL,PUBLISHED_LOWER_BOUND,40.0,7.5,15.0,0.2762244629341156,0.27555776883538124,0.0006666940987343772,1269.1165507504518,True,4.8063152079994325,37.495896176197,127.0899094352802
다사637442,강남구,963750.0,1944250.0,0.0,0.0,False,legal20_walk15_new40_BASE,LEGAL_NOMINAL,PUBLISHED_LOWER_BOUND,40.0,7.5,15.0,0.2762244629341156,0.27555804946322665,0.0006664134708889713,1107.9482512667355,True,4.8063152079994325,37.49679752027851,127.08990450646584
다사638442,강남구,963850.0,1944250.0,0.0,0.0,False,legal20_walk15_new40_BASE,LEGAL_NOMINAL,PUBLISHED_LOWER_BOUND,40.0,7.5,15.0,0.2762244629341156,0.27555915682124466,0.000665306112870967,1156.2058108881547,True,4.8063152079994325,37.49680144199788,127.09103577795999
다사639440,강남구,963950.0,1944050.0,0.0,0.0,False,legal20_walk15_new40_BASE,LEGAL_NOMINAL,PUBLISHED_LOWER_BOUND,40.0,7.5,15.0,0.2762244629341156,0.27556070028031393,0.0006637626538016916,1383.6530726822944,True,4.8063152079994325,37.49500266407602,127.0921768527015
다사638440,강남구,963850.0,1944050.0,0.0,0.0,False,legal20_walk15_new40_BASE,LEGAL_NOMINAL,PUBLISHED_LOWER_BOUND,40.0,7.5,15.0,0.2762244629341156,0.2755607948664365,0.0006636680676791462,1539.264666810092,True,4.8063152079994325,37.49499875344254,127.09104560817882
다사641505,광진구,964150.0,1950550.0,126.0,126.0,False,legal20_walk15_new40_BASE,LEGAL_NOMINAL,PUBLISHED_LOWER_BOUND,40.0,7.5,15.0,0.2762244629341156,0.27556119881717517,0.0006632641169404541,3495.6962044751035,True,4.8063152079994325,37.55359757206679,127.0941220663768
다사642505,광진구,964250.0,1950550.0,95.0,95.0,False,legal20_walk15_new40_BASE,LEGAL_NOMINAL,PUBLISHED_LOWER_BOUND,40.0,7.5,15.0,0.2762244629341156,0.27556121609571577,0.0006632468383998558,3006.5333477679296,True,4.8063152079994325,37.553601458370416,127.09525419648328
다사641506,광진구,964150.0,1950650.0,79.0,79.0,False,legal20_walk15_new40_BASE,LEGAL_NOMINAL,PUBLISHED_LOWER_BOUND,40.0,7.5,15.0,0.2762244629341156,0.27556207673652916,0.000662386197586462,3571.881673966589,True,4.8063152079994325,37.55449890779331,127.09411717802818
다사642506,광진구,964250.0,1950650.0,128.0,128.0,False,legal20_walk15_new40_BASE,LEGAL_NOMINAL,PUBLISHED_LOWER_BOUND,40.0,7.5,15.0,0.2762244629341156,0.27556280639952363,0.0006616565345919923,3048.065134867116,True,4.8063152079994325,37.55450279422266,127.095249321769
다사640506,광진구,964050.0,1950650.0,116.0,116.0,False,legal20_walk15_new40_BASE,LEGAL_NOMINAL,PUBLISHED_LOWER_BOUND,40.0,7.5,15.0,0.2762244629341156,0.27556295293774613,0.0006615099963694915,3880.2868038875167,True,4.8063152079994325,37.55449501050879,127.09298503450513
다사635507,광진구,963550.0,1950750.0,130.0,130.0,False,legal20_walk15_new40_BASE,LEGAL_NOMINAL,PUBLISHED_LOWER_BOUND,40.0,7.5,15.0,0.2762244629341156,0.27556310041603926,0.0006613625180763583,3140.132371367763,True,4.8063152079994325,37.555376696085,127.0873193498019
다사640505,광진구,964050.0,1950550.0,141.0,141.0,False,legal20_walk15_new40_BASE,LEGAL_NOMINAL,PUBLISHED_LOWER_BOUND,40.0,7.5,15.0,0.2762244629341156,0.2755633845357483,0.0006610783983673207,3760.9081327417443,True,4.8063152079994325,37.553593674908356,127.09298993648808
다사636507,광진구,963650.0,1950750.0,46.0,46.0,False,legal20_walk15_new40_BASE,LEGAL_NOMINAL,PUBLISHED_LOWER_BOUND,40.0,7.5,15.0,0.2762244629341156,0.27556410406417037,0.0006603588699452545,3408.0315653019197,True,4.8063152079994325,37.55538064777315,127.08845150586187
다사635506,광진구,963550.0,1950650.0,15.0,15.0,False,legal20_walk15_new40_BASE,LEGAL_NOMINAL,PUBLISHED_LOWER_BOUND,40.0,7.5,15.0,0.2762244629341156,0.27556412802340513,0.0006603349107104917,2881.4711275011964,True,4.8063152079994325,37.55447536125875,127.08732432017777
다사636506,광진구,963650.0,1950650.0,14.0,14.0,False,legal20_walk15_new40_BASE,LEGAL_NOMINAL,PUBLISHED_LOWER_BOUND,40.0,7.5,15.0,0.2762244629341156,0.2755641778557025,0.0006602850784131475,3183.5334197977654,True,4.8063152079994325,37.554479312819055,127.08845646260284
다사639506,광진구,963950.0,1950650.0,157.0,157.0,False,legal20_walk15_new40_BASE,LEGAL_NOMINAL,PUBLISHED_LOWER_BOUND,40.0,7.5,15.0,0.2762244629341156,0.275564383438567,0.0006600794955486378,3943.24780462967,True,4.8063152079994325,37.55449110236909,127.09185289120049
다사643505,광진구,964350.0,1950550.0,83.0,83.0,False,legal20_walk15_new40_BASE,LEGAL_NOMINAL,PUBLISHED_LOWER_BOUND,40.0,7.5,15.0,0.2762244629341156,0.2755649866798957,0.0006594762542199151,2379.798840226091,True,4.8063152079994325,37.5536053338192,127.09638632680692
다사634507,광진구,963450.0,1950750.0,79.0,79.0,False,legal20_walk15_new40_BASE,LEGAL_NOMINAL,PUBLISHED_LOWER_BOUND,40.0,7.5,15.0,0.2762244629341156,0.27556528663133084,0.0006591763027847808,2910.396687104321,True,4.8063152079994325,37.55537273354136,127.08618719396337
