gid,borough,x,y,mean_percentile,worst_percentile,mean_delta_gini,scenario_count,latitude,longitude
다사635507,광진구,963550.0,1950750.0,0.999647140245477,0.9992794296116505,0.0005871858317238109,7,37.555376696085,127.0873193498019
다사641506,광진구,964150.0,1950650.0,0.9996085669066767,0.9984640473300971,0.0005871898583130673,7,37.55449890779331,127.09411717802818
다사642506,광진구,964250.0,1950650.0,0.9996023861954937,0.9988622572815534,0.0005862151127912694,7,37.55450279422266,127.095249321769
다사641505,광진구,964150.0,1950550.0,0.9995794214394895,0.9986536711165048,0.0005868127509251515,7,37.55359757206679,127.0941220663768
다사642505,광진구,964250.0,1950550.0,0.9995758683217036,0.998960534977998,0.0005861361231021743,7,37.553601458370416,127.09525419648328
다사635506,광진구,963550.0,1950650.0,0.999560226285493,0.9991511035653651,0.0005858704241716069,7,37.55447536125875,127.08732432017777
다사636507,광진구,963650.0,1950750.0,0.9995371480779942,0.9986726334951457,0.0005863683172821686,7,37.55538064777315,127.08845150586187
다사640506,광진구,964050.0,1950650.0,0.9995263947752347,0.998046875,0.0005863528203926509,7,37.55449501050879,127.09298503450513
다사634507,광진구,963450.0,1950750.0,0.9994953054721455,0.9992377256505318,0.00058484092444839,7,37.55537273354136,127.08618719396337
다사636506,광진구,963650.0,1950650.0,0.9994913430269966,0.9988243325242718,0.0005856741803535261,7,37.554479312819055,127.08845646260284
다사640505,광진구,964050.0,1950550.0,0.9994323614184496,0.9981037621359223,0.0005850619483634253,7,37.553593674908356,127.09298993648808
다사635508,광진구,963550.0,1950850.0,0.9993584948905531,0.9988812196601942,0.0005841878564423078,7,37.556278030772745,127.08731437920463
다사639506,광진구,963950.0,1950650.0,0.9993571418215605,0.997534890776699,0.0005849439458927534,7,37.55449110236909,127.09185289120049
다사637506,광진구,963750.0,1950650.0,0.9993203820289163,0.9979141383495146,0.0005842624680767223,7,37.55448325352423,127.0895886052487
다사643506,광진구,964350.0,1950650.0,0.999319634398185,0.9986157463592233,0.0005816789184036687,7,37.55450666979683,127.09638146572702
다사637507,광진구,963750.0,1950750.0,0.9992884236939402,0.9976107402912622,0.0005842307810737761,7,37.5553845886058,127.08958366214264
다사643505,광진구,964350.0,1950550.0,0.9992783609910189,0.9979903676241294,0.0005812698043718502,7,37.5536053338192,127.09638632680692
다사634506,광진구,963450.0,1950650.0,0.9992758058463277,0.9989085617268979,0.0005820264121236223,7,37.554471398843305,127.08619217797411
다사638506,광진구,963850.0,1950650.0,0.9992674738328218,0.9974400788834952,0.0005839809755177219,7,37.55448718337424,127.09072074811479
다사634508,광진구,963450.0,1950850.0,0.9992261127426146,0.9987674453883495,0.0005825794158285182,7,37.556274068100905,127.08618220973061
